Sp_Name,SpName,id,order,family,subfamily,tribe,genus,specificEpithet,CMW_sciName,MSW3_sciName,SynonymUsedMDD,X,tiplabel,gen,fam,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC,SynonymMatched,Phylo_Name,PhyloName
Spermophilus_elegans,Spermophilus elegans,1001791,RODENTIA,SCIURIDAE,XERINAE,MARMOTINI,Urocitellus,elegans,Urocitellus elegans,Urocitellus elegans,Urocitellus elegans,384,Urocitellus_elegans_SCIURIDAE_RODENTIA,Urocitellus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Urocitellus_elegans,1,0,sampled,PC13_SquirrelRelated,Urocitellus_elegans,Urocitellus_elegans,Urocitellus elegans
Spermophilus_lateralis,Spermophilus lateralis,1001711,RODENTIA,SCIURIDAE,XERINAE,MARMOTINI,Callospermophilus,lateralis,Callospermophilus lateralis,Callospermophilus lateralis,Callospermophilus lateralis,385,Callospermophilus_lateralis_SCIURIDAE_RODENTIA,Callospermophilus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Callospermophilus_lateralis,3,0,sampled,PC13_SquirrelRelated,Callospermophilus_lateralis,Callospermophilus_lateralis,Callospermophilus lateralis
Spermophilus_tridecemlineatus,Spermophilus tridecemlineatus,1001722,RODENTIA,SCIURIDAE,XERINAE,MARMOTINI,Ictidomys,tridecemlineatus,Ictidomys tridecemlineatus,Ictidomys tridecemlineatus,Ictidomys tridecemlineatus,386,Ictidomys_tridecemlineatus_SCIURIDAE_RODENTIA,Ictidomys,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Ictidomys_tridecemlineatus,29,0,sampled,PC13_SquirrelRelated,Ictidomys_tridecemlineatus,Ictidomys_tridecemlineatus,Ictidomys tridecemlineatus
Spermophilus_variegatus,Spermophilus variegatus,1001766,RODENTIA,SCIURIDAE,XERINAE,MARMOTINI,Otospermophilus,variegatus,Otospermophilus variegatus,Otospermophilus variegatus,Otospermophilus variegatus,394,Otospermophilus_variegatus_SCIURIDAE_RODENTIA,Otospermophilus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,NA,3,0,sampled,PC13_SquirrelRelated,Otospermophilus_variegatus,Otospermophilus_variegatus,Otospermophilus variegatus
Sundamys_infraluteus,Sundamys infraluteus,1003682,RODENTIA,MURIDAE,MURINAE,RATTINI,Sundamys,infraluteus,Sundamys infraluteus,Sundamys infraluteus,NA,330,Sundamys_infraluteus_MURIDAE_RODENTIA,Sundamys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Sundamys_infraluteus,0,0,imputed,PC11_Muridae,NA,Sundamys_infraluteus,Sundamys infraluteus
Sundamys_muelleri,Sundamys muelleri,1003684,RODENTIA,MURIDAE,MURINAE,RATTINI,Sundamys,muelleri,Sundamys muelleri,Sundamys muelleri,NA,331,Sundamys_muelleri_MURIDAE_RODENTIA,Sundamys,MURIDAE,RODENTIA,Mouse-related,Euarchontoglires,Sundamys_muelleri,7,0,sampled,PC11_Muridae,NA,Sundamys_muelleri,Sundamys muelleri
Sundasciurus_brookei,Sundasciurus brookei,1001577,RODENTIA,SCIURIDAE,CALLOSCIURINAE,CALLOSCIURINI,Sundasciurus,brookei,Sundasciurus brookei,Sundasciurus brookei,NA,332,Sundasciurus_brookei_SCIURIDAE_RODENTIA,Sundasciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sundasciurus_brookei,2,0,sampled,PC13_SquirrelRelated,NA,Sundasciurus_brookei,Sundasciurus brookei
Sundasciurus_jentinki,Sundasciurus jentinki,1001583,RODENTIA,SCIURIDAE,CALLOSCIURINAE,CALLOSCIURINI,Sundasciurus,jentinki,Sundasciurus jentinki,Sundasciurus jentinki,NA,333,Sundasciurus_jentinki_SCIURIDAE_RODENTIA,Sundasciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sundasciurus_jentinki,1,0,sampled,PC13_SquirrelRelated,NA,Sundasciurus_jentinki,Sundasciurus jentinki
Sundasciurus_lowii,Sundasciurus lowii,1001585,RODENTIA,SCIURIDAE,CALLOSCIURINAE,CALLOSCIURINI,Sundasciurus,lowii,Sundasciurus lowii,Sundasciurus lowii,NA,334,Sundasciurus_lowii_SCIURIDAE_RODENTIA,Sundasciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sundasciurus_lowii,1,0,sampled,PC13_SquirrelRelated,NA,Sundasciurus_lowii,Sundasciurus lowii
Sundasciurus_philippinensis,Sundasciurus philippinensis,1001589,RODENTIA,SCIURIDAE,CALLOSCIURINAE,CALLOSCIURINI,Sundasciurus,philippinensis,Sundasciurus philippinensis,Sundasciurus philippinensis,NA,335,Sundasciurus_philippinensis_SCIURIDAE_RODENTIA,Sundasciurus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Sundasciurus_philippinensis,2,0,sampled,PC13_SquirrelRelated,NA,Sundasciurus_philippinensis,Sundasciurus philippinensis
Synaptomys_cooperi,Synaptomys cooperi,1002147,RODENTIA,CRICETIDAE,ARVICOLINAE,LEMMINI,Synaptomys,cooperi,Synaptomys cooperi,Synaptomys cooperi,NA,336,Synaptomys_cooperi_CRICETIDAE_RODENTIA,Synaptomys,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Synaptomys_cooperi,6,0,sampled,PC12_Cricetidae,NA,Synaptomys_cooperi,Synaptomys cooperi
Tamias_alpinus,Tamias alpinus,1001738,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Neotamias,alpinus,Neotamias alpinus,Neotamias alpinus,Neotamias alpinus,337,Tamias_alpinus_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_alpinus,1,0,sampled,PC13_SquirrelRelated,NA,Tamias_alpinus,Tamias alpinus
Tamias_amoenus,Tamias amoenus,1001739,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Neotamias,amoenus,Neotamias amoenus,Neotamias amoenus,Neotamias amoenus,338,Tamias_amoenus_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_amoenus,4,0,sampled,PC13_SquirrelRelated,NA,Tamias_amoenus,Tamias amoenus
Tamias_dorsalis,Tamias dorsalis,1001743,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Neotamias,dorsalis,Neotamias dorsalis,Neotamias dorsalis,Neotamias dorsalis,339,Tamias_dorsalis_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_dorsalis,1,0,sampled,PC13_SquirrelRelated,NA,Tamias_dorsalis,Tamias dorsalis
